placeName,language,deviceInstallId,deviceName
Ốc Sầu Nơ,vi,0d7f27e83042488fb713eaad1bd9b309,Android
Ốc Sầu Nơ,en,2adbb7e4ae1c4956ab2233d44b750a8d,Android
Ốc Sầu Nơ,zh,c9edba93364a42f0a45b804352b05ff8,Android
Ốc Sầu Nơ,ja,5a73bc9c771c465a90b3cfc7c79b1264,Android
Ốc Đào,vi,0b63a76d0f2c4325948f79c23326e01b,Android
Ốc Đào,en,0d7f27e83042488fb713eaad1bd9b309,Android
Ốc Đào,zh,2adbb7e4ae1c4956ab2233d44b750a8d,Android
Ốc Đào,ja,c9edba93364a42f0a45b804352b05ff8,Android
Ốc Phát,vi,5a73bc9c771c465a90b3cfc7c79b1264,Android
Ốc Phát,en,0b63a76d0f2c4325948f79c23326e01b,Android
Ốc Phát,zh,0d7f27e83042488fb713eaad1bd9b309,Android
Ốc Phát,ja,2adbb7e4ae1c4956ab2233d44b750a8d,Android
Ốc Vũ,vi,c9edba93364a42f0a45b804352b05ff8,Android
Ốc Vũ,en,5a73bc9c771c465a90b3cfc7c79b1264,Android
Ốc Vũ,zh,0b63a76d0f2c4325948f79c23326e01b,Android
Ốc Vũ,ja,0d7f27e83042488fb713eaad1bd9b309,Android
Bánh flan cô Năm Vĩnh Khánh,vi,2adbb7e4ae1c4956ab2233d44b750a8d,Android
Bánh flan cô Năm Vĩnh Khánh,en,c9edba93364a42f0a45b804352b05ff8,Android
Bánh flan cô Năm Vĩnh Khánh,zh,5a73bc9c771c465a90b3cfc7c79b1264,Android
Bánh flan cô Năm Vĩnh Khánh,ja,0b63a76d0f2c4325948f79c23326e01b,Android
Ốc Thao,vi,0d7f27e83042488fb713eaad1bd9b309,Android
Ốc Thao,en,2adbb7e4ae1c4956ab2233d44b750a8d,Android
Ốc Thao,zh,c9edba93364a42f0a45b804352b05ff8,Android
Ốc Thao,ja,5a73bc9c771c465a90b3cfc7c79b1264,Android
